"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"°C"	""	""	""	""	""	""
"05/13/2017 07:10'00"	"42868.2986111111"	"  17.1000"	"  17.2000"	""	""	""	""	""	""	
"05/13/2017 07:20'00"	"42868.3055555556"	"  17.1000"	"  17.1000"	""	""	""	""	""	""	
"05/13/2017 07:30'00"	"42868.3125000000"	"  17.3000"	"  17.2000"	""	""	""	""	""	""	
"05/13/2017 07:40'00"	"42868.3194444444"	"  17.1000"	"  17.1000"	""	""	""	""	""	""	
"05/13/2017 07:50'00"	"42868.3263888889"	"  17.6000"	"  17.5000"	""	""	""	""	""	""	
"05/13/2017 08:00'00"	"42868.3333333333"	"  17.4000"	"  17.4000"	""	""	""	""	""	""	
"05/13/2017 08:10'00"	"42868.3402777778"	"  17.1000"	"  17.2000"	""	""	""	""	""	""	
"05/13/2017 08:20'00"	"42868.3472222222"	"  17.1000"	"  17.2000"	""	""	""	""	""	""	
"05/13/2017 08:30'00"	"42868.3541666667"	"  17.2000"	"  17.2000"	""	""	""	""	""	""	
"05/13/2017 08:40'00"	"42868.3611111111"	"  17.2000"	"  17.2000"	""	""	""	""	""	""	
"05/13/2017 08:50'00"	"42868.3680555556"	"  16.9000"	"  17.0000"	""	""	""	""	""	""	
"05/13/2017 09:00'00"	"42868.3750000000"	"  16.8000"	"  16.9000"	""	""	""	""	""	""	
"05/13/2017 09:10'00"	"42868.3819444444"	"  16.8000"	"  16.8000"	""	""	""	""	""	""	
"05/13/2017 09:20'00"	"42868.3888888889"	"  16.7000"	"  16.8000"	""	""	""	""	""	""	
"05/13/2017 09:30'00"	"42868.3958333333"	"  16.6000"	"  16.7000"	""	""	""	""	""	""	
"05/13/2017 09:40'00"	"42868.4027777778"	"  16.5000"	"  16.6000"	""	""	""	""	""	""	
"05/13/2017 09:50'00"	"42868.4097222222"	"  16.6000"	"  16.6000"	""	""	""	""	""	""	
"05/13/2017 10:00'00"	"42868.4166666667"	"  16.7000"	"  16.8000"	""	""	""	""	""	""	
"05/13/2017 10:10'00"	"42868.4236111111"	"  17.1000"	"  18.7000"	""	""	""	""	""	""	
"05/13/2017 10:20'00"	"42868.4305555556"	"  17.1000"	"  18.8000"	""	""	""	""	""	""	
"05/13/2017 10:30'00"	"42868.4375000000"	"  17.3000"	"  18.8000"	""	""	""	""	""	""	
"05/13/2017 10:40'00"	"42868.4444444444"	"  17.1000"	"  18.9000"	""	""	""	""	""	""	
"05/13/2017 10:50'00"	"42868.4513888889"	"  17.4000"	"  18.9000"	""	""	""	""	""	""	
"05/13/2017 11:00'00"	"42868.4583333333"	"  17.4000"	"  18.9000"	""	""	""	""	""	""	
"05/13/2017 11:10'00"	"42868.4652777778"	"  17.4000"	"  19.0000"	""	""	""	""	""	""	
"05/13/2017 11:20'00"	"42868.4722222222"	"  17.4000"	"  19.1000"	""	""	""	""	""	""	
"05/13/2017 11:30'00"	"42868.4791666667"	"  17.3000"	"  19.1000"	""	""	""	""	""	""	
"05/13/2017 11:40'00"	"42868.4861111111"	"  17.3000"	"  19.2000"	""	""	""	""	""	""	
