< Measurement Data Text Output >									
									
Date/Time	@date()	T60		ch.3	ch.4	ch.5	ch.6	ch.7	ch.8
		°C	°C						
06/27/2019 22:00'00	43643.91667	24.9	25.7						
06/27/2019 22:20'00	43643.93056	24.9	25.7						
06/27/2019 22:40'00	43643.94444	24.8	25.6						
06/27/2019 23:00'00	43643.95833	24.8	25.6						
06/27/2019 23:20'00	43643.97222	24.8	25.6						
06/27/2019 23:40'00	43643.98611	24.7	25.5						
06/28/2019 00:00'00	43644	24.7	25.5						
06/28/2019 00:20'00	43644.01389	24.5	25.5						
06/28/2019 00:40'00	43644.02778	24.3	25.4						
06/28/2019 01:00'00	43644.04167	24.2	25.5						
06/28/2019 01:20'00	43644.05556	24.1	25.4						
06/28/2019 01:40'00	43644.06944	24	25.4						
06/28/2019 02:00'00	43644.08333	23.7	25.3						
06/28/2019 02:20'00	43644.09722	23.6	25.2						
06/28/2019 02:40'00	43644.11111	23.5	25.2						
06/28/2019 03:00'00	43644.125	23.3	25.1						
06/28/2019 03:20'00	43644.13889	23.3	25						
06/28/2019 03:40'00	43644.15278	23.3	25						
06/28/2019 04:00'00	43644.16667	23.3	24.9						
06/28/2019 04:20'00	43644.18056	23.1	24.9						
06/28/2019 04:40'00	43644.19444	22.9	24.8						
06/28/2019 05:00'00	43644.20833	23.1	24.8						
06/28/2019 05:20'00	43644.22222	24	24.8						
06/28/2019 05:40'00	43644.23611	24.2	24.8						
06/28/2019 06:00'00	43644.25	24.4	24.8						
06/28/2019 06:20'00	43644.26389	24.8	24.9						
06/28/2019 06:40'00	43644.27778	25.4	25						
06/28/2019 07:00'00	43644.29167	25.7	25						
06/28/2019 07:20'00	43644.30556	26.7	25.2						
06/28/2019 07:40'00	43644.31944	27	25.4						
06/28/2019 08:00'00	43644.33333	29.5	25.5						
06/28/2019 08:20'00	43644.34722	30.1	25.9						
06/28/2019 08:40'00	43644.36111	31.3	26.2						
06/28/2019 09:00'00	43644.375	29	26.5						
06/28/2019 09:20'00	43644.38889	31.2	26.7						
06/28/2019 09:40'00	43644.40278	30.8	27.1						
06/28/2019 10:00'00	43644.41667	33.5	27.3						
06/28/2019 10:20'00	43644.43056	29.8	27.7						
06/28/2019 10:40'00	43644.44444	28.5	27.7						
06/28/2019 11:00'00	43644.45833	28.2	27.6						
06/28/2019 11:20'00	43644.47222	28	27.5						
06/28/2019 11:40'00	43644.48611	28.9	27.4						
06/28/2019 12:00'00	43644.5	30.7	27.4						
06/28/2019 12:20'00	43644.51389	32.5	27.6						
06/28/2019 12:40'00	43644.52778	31.9	27.9						
06/28/2019 13:00'00	43644.54167	31.7	28.1						
06/28/2019 13:20'00	43644.55556	37.2	28.3						
06/28/2019 13:40'00	43644.56944	32.8	28.7						
06/28/2019 14:00'00	43644.58333	33	28.9						
06/28/2019 14:20'00	43644.59722	34.2	29.4						
06/28/2019 14:40'00	43644.61111	31.1	29.4						
06/28/2019 15:00'00	43644.625	30.9	29.2						
06/28/2019 15:20'00	43644.63889	29.9	28.9						
06/28/2019 15:40'00	43644.65278	30.8	28.8						
06/28/2019 16:00'00	43644.66667	31.8	28.7						
06/28/2019 16:20'00	43644.68056	31.6	28.7						
06/28/2019 16:40'00	43644.69444	30.6	28.7						
06/28/2019 17:00'00	43644.70833	30.8	28.7						
06/28/2019 17:20'00	43644.72222	30.3	28.6						
06/28/2019 17:40'00	43644.73611	32.7	28.6						
06/28/2019 18:00'00	43644.75	31.2	28.6						
06/28/2019 18:20'00	43644.76389	30.4	28.5						
06/28/2019 18:40'00	43644.77778	29.6	28.4						
06/28/2019 19:00'00	43644.79167	28.2	28.3						
06/28/2019 19:20'00	43644.80556	27.3	28.2						
06/28/2019 19:40'00	43644.81944	27	28.1						
06/28/2019 20:00'00	43644.83333	26.4	27.9						
