date,T20_mean,ST_mean,T60_mean,H_mean,T20_min,ST_min,T60_min,H_min,T20_max,ST_max,T60_max,H_max
2019-05-29,21.455555555555556,20.99583333333333,21.540277777777774,53.651388888888874,16.1,17.6,16.1,28.9,26.8,24.5,26.5,95.0
2019-05-30,23.251388888888883,22.959722222222222,22.75694444444445,54.09305555555555,11.2,16.3,11.0,30.2,35.4,29.9,33.3,83.2
2019-05-31,23.636111111111106,23.41250000000001,23.198611111111106,66.41388888888889,18.1,20.7,18.0,38.0,33.0,27.7,31.7,84.7
2019-06-01,24.020833333333343,24.17916666666666,23.449999999999996,62.99027777777779,18.1,20.8,18.1,32.0,31.9,29.0,30.3,89.3
2019-06-02,22.729166666666664,23.02083333333333,22.386111111111116,75.18472222222222,17.5,20.5,17.3,50.5,30.6,25.9,29.8,90.9
2019-06-03,24.304166666666667,24.491666666666664,23.694444444444454,67.28333333333335,18.0,20.4,17.8,40.7,34.6,29.6,32.7,89.9
2019-06-04,25.23194444444444,25.00694444444444,24.619444444444444,66.95555555555555,17.9,21.1,17.8,42.1,35.0,29.6,32.8,90.2
2019-06-05,24.66666666666667,24.483333333333334,24.09722222222221,70.95555555555556,19.6,21.8,19.5,43.2,34.5,28.8,33.5,89.2
2019-06-06,25.581944444444446,25.025,25.029166666666672,64.14166666666668,18.2,21.5,18.2,34.5,34.9,29.3,32.9,92.6
2019-06-07,21.155555555555555,22.480555555555558,20.987499999999994,85.41249999999998,19.5,21.7,19.3,70.2,26.9,23.7,26.2,95.7
2019-06-08,24.040277777777774,23.54861111111111,23.616666666666664,70.91527777777782,19.7,21.5,19.7,50.8,31.6,27.5,29.1,98.2
2019-06-09,22.01666666666668,22.17916666666666,21.636111111111106,73.35000000000002,18.1,20.7,18.0,48.5,30.8,24.8,29.0,93.5
2019-06-10,20.97222222222222,22.161111111111108,20.98888888888889,85.94444444444446,16.5,20.9,17.5,66.3,26.6,23.2,26.2,100.0
2019-06-11,22.456944444444446,23.21527777777778,22.362499999999997,77.1402777777778,15.5,20.0,16.6,45.6,33.4,27.7,31.7,100.0
2019-06-12,22.988888888888894,23.244444444444436,22.412500000000005,70.9013888888889,17.1,20.4,17.1,43.2,33.3,27.0,31.6,89.9
2019-06-13,25.052777777777784,24.33749999999999,24.550000000000004,64.89166666666668,16.7,20.4,16.7,38.2,36.9,28.5,39.2,87.9
2019-06-14,24.431944444444447,24.09444444444444,23.983333333333338,65.8763888888889,18.5,21.8,18.4,35.6,35.2,27.1,34.1,85.0
2019-06-15,22.106944444444427,22.097222222222214,21.806944444444444,72.80416666666666,17.5,20.8,17.5,49.6,30.3,24.3,28.7,87.7
2019-06-16,22.397222222222226,21.811111111111114,22.261111111111106,60.749999999999986,18.6,19.6,18.5,44.9,27.6,24.2,27.0,90.0
2019-06-17,23.30416666666666,22.040277777777774,22.868055555555557,56.29444444444444,17.7,18.8,17.6,36.7,31.7,25.3,29.6,81.8
2019-06-18,23.993055555555557,23.119444444444433,23.19722222222222,67.30833333333334,16.2,20.1,16.2,39.6,33.5,25.7,31.2,89.4
2019-06-19,26.294444444444437,24.166666666666668,25.44027777777778,66.82916666666668,16.8,20.7,16.9,38.3,37.6,28.3,36.1,90.8
2019-06-20,26.30138888888889,24.87638888888889,25.49444444444444,70.17361111111109,18.9,22.3,19.1,40.2,37.1,30.8,34.2,91.8
2019-06-21,25.43472222222222,24.64861111111112,25.116666666666667,76.07361111111109,20.6,21.6,20.8,44.4,36.3,29.5,31.9,98.5
2019-06-22,26.099999999999998,24.59444444444445,25.561111111111117,69.48611111111113,20.3,21.7,20.6,35.1,37.6,27.2,33.6,91.7
2019-06-23,24.94444444444443,24.241666666666667,24.569444444444454,67.22083333333333,20.8,22.6,20.9,46.2,32.1,26.1,30.6,87.4
2019-06-24,25.593333333333323,24.220000000000002,24.672340425531917,71.23111111111113,20.2,22.6,20.3,39.5,35.4,28.1,32.4,92.7
