"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	""	""	""	""	""	""
"11/16/2016 18:40'00"	"42690.7777777778"	"  10.2000"	"  98.0000"	""	""	""	""	""	""	
"11/16/2016 18:50'00"	"42690.7847222222"	"  10.1000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 19:00'00"	"42690.7916666667"	"  10.0000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 19:10'00"	"42690.7986111111"	"   9.9000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 19:20'00"	"42690.8055555556"	"   9.7000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 19:30'00"	"42690.8125000000"	"   9.8000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 19:40'00"	"42690.8194444444"	"   9.9000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 19:50'00"	"42690.8263888889"	"  10.0000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 20:00'00"	"42690.8333333333"	"  10.2000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 20:10'00"	"42690.8402777778"	"  10.5000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 20:20'00"	"42690.8472222222"	"  10.7000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 20:30'00"	"42690.8541666667"	"  10.7000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 20:40'00"	"42690.8611111111"	"  10.8000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 20:50'00"	"42690.8680555556"	"  10.9000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 21:00'00"	"42690.8750000000"	"  10.9000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 21:10'00"	"42690.8819444444"	"  11.0000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 21:20'00"	"42690.8888888889"	"  11.0000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 21:30'00"	"42690.8958333333"	"  10.9000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 21:40'00"	"42690.9027777778"	"  10.9000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 21:50'00"	"42690.9097222222"	"  10.9000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 22:00'00"	"42690.9166666667"	"  11.0000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 22:10'00"	"42690.9236111111"	"  10.9000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 22:20'00"	"42690.9305555556"	"  10.8000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 22:30'00"	"42690.9375000000"	"  10.8000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 22:40'00"	"42690.9444444444"	"  10.8000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 22:50'00"	"42690.9513888889"	"  10.9000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 23:00'00"	"42690.9583333333"	"  10.8000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 23:10'00"	"42690.9652777778"	"  10.4000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 23:20'00"	"42690.9722222222"	"  10.0000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 23:30'00"	"42690.9791666667"	"   9.7000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 23:40'00"	"42690.9861111111"	"   9.4000"	"  99.0000"	""	""	""	""	""	""	
"11/16/2016 23:50'00"	"42690.9930555556"	"   8.9000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 00:00'00"	"42691.0000000000"	"   8.9000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 00:10'00"	"42691.0069444444"	"   8.7000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 00:20'00"	"42691.0138888889"	"   8.3000"	"  99.0000"	""	""	""	""	""	""	
"11/17/2016 00:30'00"	"42691.0208333333"	"   8.6000"	"  99.0000"	""	""	""	""	""	""	
