< Measurement Data Text Output >,,,,,,,,,
,,,,,,,,,
Date/Time,@date(),ch.1,ch.2,ch.3,ch.4,ch.5,ch.6,ch.7,ch.8
,,°C,°C,,,,,,
05/13/2020 10:20'00,43964.43056,30,22.2,,,,,,
05/13/2020 10:40'00,43964.44444,29.9,22.4,,,,,,
05/13/2020 11:00'00,43964.45833,28.6,22.6,,,,,,
05/13/2020 11:20'00,43964.47222,29.7,22.8,,,,,,
05/13/2020 11:40'00,43964.48611,29,23.1,,,,,,
05/13/2020 12:00'00,43964.5,30.7,23.6,,,,,,
05/13/2020 12:20'00,43964.51389,30.7,23.9,,,,,,
05/13/2020 12:40'00,43964.52778,29.5,23.7,,,,,,
05/13/2020 13:00'00,43964.54167,28.1,23.3,,,,,,
05/13/2020 13:20'00,43964.55556,28.3,23.1,,,,,,
05/13/2020 13:40'00,43964.56944,28.7,22.9,,,,,,
05/13/2020 14:00'00,43964.58333,28.7,22.9,,,,,,
05/13/2020 14:20'00,43964.59722,28.4,22.8,,,,,,
05/13/2020 14:40'00,43964.61111,28.9,22.9,,,,,,
05/13/2020 15:00'00,43964.625,26.5,22.9,,,,,,
05/13/2020 15:20'00,43964.63889,27.1,22.9,,,,,,
05/13/2020 15:40'00,43964.65278,27.7,22.9,,,,,,
05/13/2020 16:00'00,43964.66667,27.6,22.8,,,,,,
05/13/2020 16:20'00,43964.68056,26.6,22.7,,,,,,
05/13/2020 16:40'00,43964.69444,27.3,22.7,,,,,,
05/13/2020 17:00'00,43964.70833,27.9,22.7,,,,,,
05/13/2020 17:20'00,43964.72222,27.2,22.6,,,,,,
05/13/2020 17:40'00,43964.73611,25.1,22.4,,,,,,
05/13/2020 18:00'00,43964.75,23.9,22.2,,,,,,
05/13/2020 18:20'00,43964.76389,22.4,22,,,,,,
05/13/2020 18:40'00,43964.77778,20.5,21.7,,,,,,
05/13/2020 19:00'00,43964.79167,19.2,21.3,,,,,,
05/13/2020 19:20'00,43964.80556,18.6,21,,,,,,
05/13/2020 19:40'00,43964.81944,18.2,20.6,,,,,,
05/13/2020 20:00'00,43964.83333,17.8,20.3,,,,,,
05/13/2020 20:20'00,43964.84722,17.3,20.1,,,,,,
05/13/2020 20:40'00,43964.86111,17.3,19.9,,,,,,
05/13/2020 21:00'00,43964.875,17,19.7,,,,,,
05/13/2020 21:20'00,43964.88889,16.7,19.5,,,,,,
05/13/2020 21:40'00,43964.90278,16.6,19.3,,,,,,
05/13/2020 22:00'00,43964.91667,16.3,19.2,,,,,,
05/13/2020 22:20'00,43964.93056,16,19,,,,,,
05/13/2020 22:40'00,43964.94444,15.8,18.9,,,,,,
05/13/2020 23:00'00,43964.95833,15.6,18.7,,,,,,
05/13/2020 23:20'00,43964.97222,15.4,18.5,,,,,,
05/13/2020 23:40'00,43964.98611,15,18.4,,,,,,
05/14/2020 00:00'00,43965,14.5,18.3,,,,,,
05/14/2020 00:20'00,43965.01389,14.5,18.1,,,,,,
05/14/2020 00:40'00,43965.02778,14.2,18,,,,,,
05/14/2020 01:00'00,43965.04167,13.9,17.9,,,,,,
