date,disease,T20_mean,ST_mean,T60_mean,H_mean,T20_min,ST_min,T60_min,H_min,T20_max,ST_max,T60_max,H_max,housa
2017-05-26,0,22.31944444444445,22.55555555555557,22.349305555555553,91.47916666666669,16.6,20.4,16.7,58.0,32.8,30.9,32.1,100.0,1.4100189303114121
2017-05-27,0,22.28611111111111,22.016666666666666,23.62708333333333,59.1875,15.1,16.4,15.0,25.0,32.8,30.9,36.7,97.0,7.202734633413099
2017-05-28,0,22.761111111111088,21.97013888888889,23.80416666666667,60.41666666666666,13.3,13.3,13.2,26.0,34.6,31.9,38.2,94.0,7.048099825627575
2017-05-29,0,23.01597222222221,22.45555555555556,23.411805555555574,69.95833333333333,14.3,18.2,14.1,33.0,32.6,27.6,35.2,100.0,5.244870800418371
2017-05-30,0,23.9625,23.06527777777779,24.17916666666667,73.65972222222223,15.9,19.6,15.7,34.0,35.6,27.4,35.6,100.0,4.778910434834596
2017-05-31,0,24.46875000000001,23.94374999999999,25.17222222222223,85.95138888888891,20.7,22.3,20.0,58.0,31.9,26.3,32.6,100.0,2.6780524800111896
2017-06-01,0,24.30694444444444,23.899305555555557,24.240972222222233,82.15277777777777,19.7,22.0,18.0,46.0,33.5,27.4,37.4,100.0,3.2480311548674017
2017-06-02,0,21.84861111111111,22.715277777777786,22.38055555555555,67.97916666666667,16.2,19.8,15.9,24.0,31.3,27.5,35.7,100.0,5.3071616944266715
2017-06-03,0,21.722222222222207,21.743055555555554,21.470138888888897,58.88888888888889,14.4,18.4,14.0,36.0,31.2,26.6,32.2,93.0,6.506058565011035
2017-06-04,0,22.405555555555548,21.961805555555557,22.6125,55.97916666666666,14.9,18.4,14.6,29.0,33.2,27.5,36.9,85.0,7.3821177805137665
2017-06-05,0,21.202777777777776,21.146527777777774,21.131249999999994,68.79166666666667,11.7,17.4,11.7,33.0,29.7,24.9,33.0,96.0,4.854287193414926
2017-06-06,0,22.55694444444444,22.195138888888877,22.30208333333334,78.875,15.4,19.2,15.4,44.0,31.2,25.6,32.4,100.0,3.4873974785715074
2017-06-07,0,21.01319444444444,21.28680555555556,20.927777777777788,87.71527777777777,17.4,19.1,17.9,63.0,28.1,24.2,28.9,100.0,1.8910641306596585
2017-06-08,0,20.65,20.925694444444442,20.598611111111115,92.54861111111113,17.5,18.8,17.5,73.0,27.6,23.6,27.1,100.0,1.1278776754207334
2017-06-09,0,23.197916666666657,22.493749999999995,22.814583333333346,81.15972222222223,15.4,19.4,15.6,53.0,32.7,25.7,32.3,100.0,3.191836400469139
2017-06-10,0,24.95555555555556,22.675694444444453,23.73263888888889,73.6736111111111,15.5,19.2,15.7,41.0,35.1,26.0,33.6,100.0,4.6708319367945
2017-06-11,0,22.75555555555555,21.56041666666666,21.644444444444428,67.34027777777777,17.9,19.9,17.7,31.0,32.2,23.6,29.2,85.0,5.214634458238266
2017-06-12,0,22.899305555555557,21.37638888888889,22.027777777777786,61.40972222222222,16.0,18.4,15.9,31.0,34.4,25.5,34.9,100.0,6.2826877083762644
2017-06-13,0,21.879861111111122,21.1375,20.845833333333346,79.7013888888889,13.3,17.7,13.5,38.0,31.7,25.7,32.2,100.0,3.1116267919313225
2017-06-14,0,22.199305555555558,21.48472222222221,20.852083333333336,79.38194444444444,15.5,18.8,5.4,30.0,31.0,25.0,30.3,100.0,3.1616057655184022
2017-06-15,0,23.418749999999985,21.89027777777777,22.65416666666665,74.6111111111111,15.0,18.3,14.8,35.0,32.6,26.2,33.3,100.0,4.266585421840581
2017-06-16,0,24.69375,22.73402777777777,22.874305555555555,71.59722222222223,15.7,18.8,8.8,34.0,35.3,28.0,36.5,100.0,4.826389100717862
2017-06-17,0,24.040972222222234,22.831250000000008,23.763194444444466,68.77083333333333,16.0,19.0,16.1,41.0,33.7,27.1,34.0,88.0,5.549175391587593
2017-06-18,0,21.61041666666665,22.02430555555555,21.38819444444444,85.16666666666667,18.4,20.8,18.5,72.0,26.8,23.4,25.3,98.0,2.3376779803047607
2017-06-19,0,25.26388888888889,23.196527777777767,24.33888888888889,74.3125,17.7,20.2,18.1,37.0,36.5,27.1,33.0,100.0,4.697802389731369
2017-06-20,0,24.93263888888889,23.67083333333333,24.03749999999999,88.28472222222223,16.7,19.7,16.9,53.0,36.2,27.6,35.2,100.0,2.110499097312562
2017-06-21,0,22.417361111111106,23.21875,22.445833333333322,95.41666666666669,18.5,21.8,18.7,80.0,29.2,24.8,29.0,100.0,0.7621585620443949
2017-06-22,0,23.759722222222234,22.85902777777777,23.315972222222232,77.04166666666667,19.7,21.3,19.6,46.0,32.8,25.0,31.0,97.0,3.98895855262717
2017-06-23,0,25.336805555555557,24.04652777777777,24.81944444444445,82.8611111111111,17.9,21.1,18.2,51.0,34.1,27.6,34.1,100.0,3.210374141925412
2017-06-24,0,25.19236111111111,24.22708333333334,24.82986111111111,82.2361111111111,19.5,22.3,19.6,56.0,33.1,26.6,32.1,100.0,3.329170862748254
2017-06-25,0,23.15069444444445,23.62291666666666,23.248611111111106,94.13888888888887,20.8,22.8,21.1,76.0,27.1,24.3,26.3,100.0,1.0149113257700124
2017-06-26,0,24.53819444444445,23.51111111111113,23.749305555555548,84.50694444444444,21.3,22.6,21.4,60.0,30.7,24.5,27.9,100.0,2.75107753395205
2017-06-27,0,24.459722222222233,23.71319444444444,24.018055555555573,90.78472222222223,20.7,22.4,20.5,65.0,32.6,25.7,30.6,100.0,1.6585118692016554
2017-06-28,0,24.309722222222234,24.058333333333344,24.314583333333346,92.85416666666669,21.6,23.1,22.2,66.0,31.4,25.7,29.3,100.0,1.305265472320246
2017-06-29,0,24.41944444444445,23.940972222222232,24.113888888888887,93.15972222222223,21.2,23.1,21.8,66.0,29.8,25.0,28.0,100.0,1.2369874713806386
