,date,disease,T20_mean,ST_mean,T60_mean,H_mean,T20_min,ST_min,T60_min,H_min,T20_max,ST_max,T60_max,H_max
135,2018-06-21,1,23.662500000000005,22.968749999999986,23.556249999999995,86.81319444444439,18.9,21.7,19.4,68.0,29.3,24.2,28.8,100.0
136,2018-06-22,1,25.107638888888896,23.3375,24.947222222222226,73.3298611111111,17.1,20.8,17.8,43.1,36.9,26.1,34.7,95.9
137,2018-06-23,1,20.538194444444443,21.8402777777778,20.618055555555557,93.41111111111108,18.2,20.6,18.5,73.0,25.8,23.3,25.5,100.0
138,2018-06-24,1,24.08958333333333,23.08749999999999,24.38750000000001,83.01458333333336,18.1,20.7,18.4,49.9,35.3,25.9,34.6,100.0
139,2018-06-25,1,27.421527777777797,24.85347222222221,27.363194444444453,74.28958333333331,19.7,22.1,20.0,47.0,37.8,27.8,36.8,98.0
140,2018-06-26,1,27.010416666666675,25.78263888888889,26.97083333333333,83.9861111111111,21.8,23.8,22.1,59.6,35.7,28.5,36.4,98.4
141,2018-06-27,1,27.392361111111104,26.17083333333332,27.402777777777782,86.0986111111112,23.5,24.2,23.7,61.8,35.1,28.2,35.2,98.3
142,2018-06-28,1,28.07083333333334,26.808333333333326,28.019444444444442,85.9854166666667,23.8,25.3,24.0,58.4,38.0,29.4,37.6,100.0
143,2018-06-29,1,27.66666666666667,26.913194444444446,27.647916666666664,88.62638888888893,24.6,25.7,24.7,68.7,33.3,28.5,33.6,100.0
144,2018-06-30,1,28.043055555555547,27.179861111111123,28.022222222222233,89.45972222222225,25.0,26.0,25.1,64.7,35.6,28.8,35.9,100.0
145,2018-07-01,1,28.792361111111106,27.759722222222226,28.848611111111108,84.79861111111113,24.5,26.2,24.9,60.0,36.3,30.4,37.1,100.0
146,2018-07-02,1,28.67083333333333,27.467361111111106,28.342361111111092,86.25694444444453,23.9,25.9,24.3,66.2,36.1,29.3,35.8,98.7
147,2018-07-03,1,28.42361111111111,27.429861111111123,28.1798611111111,85.6,23.7,26.0,24.0,66.9,35.6,29.1,34.3,100.0
148,2018-07-04,1,26.57291666666667,26.72916666666668,26.469444444444452,92.58333333333334,24.3,25.9,24.6,81.6,30.2,27.3,29.6,99.2
149,2018-07-05,1,25.68125,25.905555555555548,25.63958333333333,95.45000000000006,24.3,25.5,24.5,88.2,27.6,26.3,27.4,99.9
150,2018-07-06,1,26.15000000000001,26.15833333333335,25.915972222222234,95.04652777777773,23.7,25.1,24.0,82.6,30.0,29.4,29.3,100.0
151,2018-07-07,1,27.0465277777778,26.540277777777767,26.808333333333344,90.76597222222223,24.7,24.6,24.8,66.7,32.6,31.9,31.4,100.0
152,2018-07-08,1,28.772222222222233,27.067361111111108,28.43611111111112,85.44652777777776,23.6,25.6,24.1,60.6,37.6,29.2,35.4,100.0
153,2018-07-09,1,28.72916666666666,27.209722222222233,28.437500000000004,83.87916666666662,22.5,25.1,23.0,62.7,39.4,29.5,36.0,97.9
154,2018-07-10,1,29.384722222222234,27.45069444444445,28.65486111111109,83.08611111111112,22.7,25.5,23.3,60.5,38.7,29.5,35.7,98.2
155,2018-07-11,1,29.25833333333334,27.66250000000001,28.72361111111111,82.70902777777775,23.9,26.2,24.5,60.0,37.0,30.1,35.4,98.0
156,2018-07-12,1,29.530555555555548,27.85972222222223,29.08819444444445,81.83472222222224,25.1,26.6,25.6,51.9,40.3,29.8,37.7,98.9
157,2018-07-13,1,30.263888888888896,27.64791666666665,29.54930555555556,75.9597222222222,23.9,26.2,24.6,51.3,38.5,29.2,36.2,97.0
158,2018-07-14,1,30.35972222222223,28.096527777777787,29.665277777777792,79.41874999999995,23.8,26.4,24.5,55.6,38.9,30.0,36.2,95.6
159,2018-07-15,1,31.05138888888888,28.60694444444445,30.195138888888888,80.47083333333335,24.6,26.8,25.1,61.3,39.9,30.5,36.8,97.3
160,2018-07-16,1,30.306249999999977,28.733333333333324,29.90347222222222,83.17430555555559,25.2,27.3,25.8,61.3,39.2,30.6,37.0,96.6
161,2018-07-17,1,30.47083333333333,29.022222222222208,30.065277777777773,86.36875000000002,26.3,27.7,26.6,70.6,38.0,30.7,36.0,98.7
162,2018-07-18,1,31.490277777777766,29.413888888888888,30.86666666666666,83.69583333333338,26.2,27.9,26.7,65.0,38.9,31.1,36.9,97.8
163,2018-07-19,1,30.52708333333332,29.32916666666667,30.23194444444444,84.76180555555554,26.4,28.3,26.9,67.2,38.5,30.8,36.1,98.7
164,2018-07-20,1,29.586111111111087,28.66041666666667,29.38402777777777,84.70625,25.6,27.7,26.1,69.5,35.7,29.6,34.2,96.2
165,2018-07-21,1,29.07777777777777,27.9,29.09791666666667,82.54097222222221,24.8,27.9,25.5,53.3,33.5,27.9,37.5,97.4
168,2017-01-14,0,14.546527777777774,16.0861111111111,13.76527777777777,98.50694444444444,12.7,15.6,12.3,90.0,21.2,16.9,21.0,99.0
169,2017-01-15,0,16.234027777777776,16.467361111111103,15.675694444444435,91.16666666666669,12.4,15.3,12.3,50.0,25.2,18.6,27.6,99.0
