T20_mean_x,H_mean_x,T20_min_x,H_min_x,T20_max_x,T60_max_x,H_max_x,housa_x,H_mean_y,T20_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,housa_y,H_mean_z,T20_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,housa_z,days
28.42361111,85.6,23.7,66.9,35.6,34.3,100.0,3.1820225892739704,86.25694444,23.9,66.2,36.1,29.3,35.8,98.7,3.0609247021131982,84.79861111,24.5,60.0,36.3,30.4,37.1,100.0,3.4698404382159302,86.0
26.57291667,92.58333333,24.3,81.6,30.2,29.6,99.2,1.5073994985912358,85.6,23.7,66.9,35.6,29.1,34.3,100.0,3.1820225892739704,86.25694444,23.9,66.2,36.1,29.3,35.8,98.7,3.0609247021131982,87.0
25.68125,95.45,24.3,88.2,27.6,27.4,99.9,0.8876746671720519,92.58333333,24.3,81.6,30.2,27.3,29.6,99.2,1.5073994985912358,85.6,23.7,66.9,35.6,29.1,34.3,100.0,3.1820225892739704,88.0
26.15,95.04652778,23.7,82.6,30.0,29.3,100.0,0.9796800191263232,95.45,24.3,88.2,27.6,26.3,27.4,99.9,0.8876746671720519,92.58333333,24.3,81.6,30.2,27.3,29.6,99.2,1.5073994985912358,89.0
27.04652778,90.76597222,24.7,66.7,32.6,31.4,100.0,1.908275995839425,95.04652778,23.7,82.6,30.0,29.4,29.3,100.0,0.9796800191263232,95.45,24.3,88.2,27.6,26.3,27.4,99.9,0.8876746671720519,90.0
28.77222222,85.44652778,23.6,60.6,37.6,35.4,100.0,3.2562088595245573,90.76597222,24.7,66.7,32.6,31.9,31.4,100.0,1.908275995839425,95.04652778,23.7,82.6,30.0,29.4,29.3,100.0,0.9796800191263232,91.0
28.72916667,83.87916667,22.5,62.7,39.4,36.0,97.9,3.6071349390177594,85.44652778,23.6,60.6,37.6,29.2,35.4,100.0,3.2562088595245573,90.76597222,24.7,66.7,32.6,31.9,31.4,100.0,1.908275995839425,92.0
29.38472222,83.08611111,22.7,60.5,38.7,35.7,98.2,3.8246835683573,83.87916667,22.5,62.7,39.4,29.5,36.0,97.9,3.6071349390177594,85.44652778,23.6,60.6,37.6,29.2,35.4,100.0,3.2562088595245573,93.0
29.25833333,82.70902778,23.9,60.0,37.0,35.4,98.0,3.9229949733698017,83.08611111,22.7,60.5,38.7,29.5,35.7,98.2,3.8246835683573,83.87916667,22.5,62.7,39.4,29.5,36.0,97.9,3.6071349390177594,94.0
29.53055556,81.83472222,25.1,51.9,40.3,37.7,98.9,4.194679640548838,82.70902778,23.9,60.0,37.0,30.1,35.4,98.0,3.9229949733698017,83.08611111,22.7,60.5,38.7,29.5,35.7,98.2,3.8246835683573,95.0
30.26388889,75.95972222,23.9,51.3,38.5,36.2,97.0,5.676164831279317,81.83472222,25.1,51.9,40.3,29.8,37.7,98.9,4.194679640548838,82.70902778,23.9,60.0,37.0,30.1,35.4,98.0,3.9229949733698017,96.0
30.35972222,79.41875,23.8,55.6,38.9,36.2,95.6,4.886655421982172,75.95972222,23.9,51.3,38.5,29.2,36.2,97.0,5.676164831279317,81.83472222,25.1,51.9,40.3,29.8,37.7,98.9,4.194679640548838,97.0
31.05138889,80.47083333,24.6,61.3,39.9,36.8,97.3,4.7563771529053245,79.41875,23.8,55.6,38.9,30.0,36.2,95.6,4.886655421982172,75.95972222,23.9,51.3,38.5,29.2,36.2,97.0,5.676164831279317,1.0
30.30625,83.17430556,25.2,61.3,39.2,37.0,96.6,4.040978235606223,80.47083333,24.6,61.3,39.9,30.5,36.8,97.3,4.7563771529053245,79.41875,23.8,55.6,38.9,30.0,36.2,95.6,4.886655421982172,2.0
30.47083333,86.36875,26.3,70.6,38.0,36.0,98.7,3.2993099750654373,83.17430556,25.2,61.3,39.2,30.6,37.0,96.6,4.040978235606223,80.47083333,24.6,61.3,39.9,30.5,36.8,97.3,4.7563771529053245,3.0
31.49027778,83.69583333,26.2,65.0,38.9,36.9,97.8,4.10054559495299,86.36875,26.3,70.6,38.0,30.7,36.0,98.7,3.2993099750654373,83.17430556,25.2,61.3,39.2,30.6,37.0,96.6,4.040978235606223,4.0
30.52708333,84.76180556,26.4,67.2,38.5,36.1,98.7,3.717854109858141,83.69583333,26.2,65.0,38.9,31.1,36.9,97.8,4.10054559495299,86.36875,26.3,70.6,38.0,30.7,36.0,98.7,3.2993099750654373,5.0
29.58611111,84.70625,25.6,69.5,35.7,34.2,96.2,3.5823744356629996,84.76180556,26.4,67.2,38.5,30.8,36.1,98.7,3.717854109858141,83.69583333,26.2,65.0,38.9,31.1,36.9,97.8,4.10054559495299,6.0
