date,disease,T20_mean_x,T60_mean_x,H_mean_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,housa_x,H_mean_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,housa_y,H_mean_z,H_min_z,T20_max_z,T60_max_z,housa_z,days
2018-07-20,0,30.52708333,30.23194444,84.76180556,67.2,38.5,30.8,36.1,3.717854109858141,83.69583333,65.0,38.9,31.1,36.9,4.10054559495299,86.36875,70.6,38.0,36.0,3.2993099750654373,5.0
2018-07-21,0,29.58611111,29.38402778,84.70625,69.5,35.7,29.6,34.2,3.5823744356629996,84.76180556,67.2,38.5,30.8,36.1,3.717854109858141,83.69583333,65.0,38.9,36.9,4.10054559495299,6.0
2018-08-11,0,29.07777778,29.09791667,82.54097222,53.3,33.5,27.9,37.5,4.033488043635418,84.70625,69.5,35.7,29.6,34.2,3.5823744356629996,84.76180556,67.2,38.5,36.1,3.717854109858141,27.0
2018-08-12,0,30.04166667,30.41527778,81.96388889,42.6,37.2,31.7,40.8,4.439312514710322,82.54097222,53.3,33.5,27.9,37.5,4.033488043635418,84.70625,69.5,35.7,34.2,3.5823744356629996,28.0
2018-08-13,0,29.24375,29.19166667,87.34375,63.5,36.1,30.3,36.3,2.9371887294857317,81.96388889,42.6,37.2,31.7,40.8,4.439312514710322,82.54097222,53.3,33.5,37.5,4.033488043635418,29.0
2018-08-14,0,30.11388889,30.59305556,83.52986111,45.8,37.1,32.1,41.2,4.088499430175128,87.34375,63.5,36.1,30.3,36.3,2.9371887294857317,81.96388889,42.6,37.2,40.8,4.439312514710322,30.0
2018-08-15,0,30.00833333,30.49861111,83.47291667,49.7,37.7,32.3,41.0,4.084144401661167,83.52986111,45.8,37.1,32.1,41.2,4.088499430175128,87.34375,63.5,36.1,36.3,2.9371887294857317,31.0
2018-08-16,0,27.04444444,27.22638889,91.73611111,62.0,36.3,30.1,36.9,1.7431338130322955,83.47291667,49.7,37.7,32.3,41.0,4.084144401661167,83.52986111,45.8,37.1,41.2,4.088499430175128,32.0
2018-08-17,0,28.08888889,28.04861111,87.96527778,63.5,34.3,29.8,35.4,2.642438020117082,91.73611111,62.0,36.3,30.1,36.9,1.7431338130322955,83.47291667,49.7,37.7,41.0,4.084144401661167,33.0
2018-08-18,0,27.21458333,27.07013889,59.975,29.4,36.1,27.1,35.5,8.378293803277506,87.96527778,63.5,34.3,29.8,35.4,2.642438020117082,91.73611111,62.0,36.3,36.9,1.7431338130322955,34.0
2018-08-19,0,25.54791667,25.75347222,66.15416667,40.6,34.8,27.8,35.1,6.640387029073574,59.975,29.4,36.1,27.1,35.5,8.378293803277506,87.96527778,63.5,34.3,35.4,2.642438020117082,35.0
2018-08-20,0,25.37291667,25.59513889,70.36527778,39.6,35.2,27.8,35.0,5.768837793566827,66.15416667,40.6,34.8,27.8,35.1,6.640387029073574,59.975,29.4,36.1,35.5,8.378293803277506,36.0
2018-08-21,0,26.24583333,26.11805556,81.13888889,59.2,32.4,27.3,32.4,3.7676617713117952,70.36527778,39.6,35.2,27.8,35.0,5.768837793566827,66.15416667,40.6,34.8,35.1,6.640387029073574,37.0
2018-08-22,0,30.25277778,29.99305556,80.71111111,56.1,38.7,30.3,38.5,4.652529671020191,81.13888889,59.2,32.4,27.3,32.4,3.7676617713117952,70.36527778,39.6,35.2,35.0,5.768837793566827,38.0
2018-08-23,0,31.55138889,31.07083333,78.65416667,48.7,41.8,31.1,40.5,5.421068987680111,80.71111111,56.1,38.7,30.3,38.5,4.652529671020191,81.13888889,59.2,32.4,32.4,3.7676617713117952,39.0
2018-08-24,0,29.66944444,29.47777778,82.84305556,66.3,38.0,30.5,37.6,4.037004038366057,78.65416667,48.7,41.8,31.1,40.5,5.421068987680111,80.71111111,56.1,38.7,38.5,4.652529671020191,40.0
2018-08-25,0,28.34791667,28.39444444,91.54027778,71.4,34.4,29.5,34.9,1.8889633931198588,82.84305556,66.3,38.0,30.5,37.6,4.037004038366057,78.65416667,48.7,41.8,40.5,5.421068987680111,41.0
2018-08-26,0,29.02152778,28.80902778,89.67430556,71.7,37.0,29.7,35.4,2.3524130505435763,91.54027778,71.4,34.4,29.5,34.9,1.8889633931198588,82.84305556,66.3,38.0,37.6,4.037004038366057,42.0
2018-08-27,0,30.44652778,30.03402778,81.92569444,54.2,38.3,30.7,38.9,4.368151889061228,89.67430556,71.7,37.0,29.7,35.4,2.3524130505435763,91.54027778,71.4,34.4,34.9,1.8889633931198588,43.0
2018-08-28,1,30.39027778,29.78680556,79.67361111,53.6,38.3,30.3,38.7,4.854435466929858,81.92569444,54.2,38.3,30.7,38.9,4.368151889061228,89.67430556,71.7,37.0,35.4,2.3524130505435763,44.0
2018-08-29,1,29.05069444,28.63263889,82.02013889,59.3,38.9,29.6,36.7,4.061352939381447,79.67361111,53.6,38.3,30.3,38.7,4.854435466929858,81.92569444,54.2,38.3,38.9,4.368151889061228,45.0
2018-08-30,1,29.81736111,29.27777778,82.30069444,55.7,38.6,30.1,37.1,4.124656772838615,82.02013889,59.3,38.9,29.6,36.7,4.061352939381447,79.67361111,53.6,38.3,38.7,4.854435466929858,46.0
2018-08-31,1,28.71527778,28.17569444,88.80069444,66.7,35.9,29.6,33.1,2.4742518163000877,82.30069444,55.7,38.6,30.1,37.1,4.124656772838615,82.02013889,59.3,38.9,36.7,4.061352939381447,47.0
2018-09-01,1,30.09652778,29.30069444,82.81527778,54.1,40.3,30.9,38.0,4.009167766182779,88.80069444,66.7,35.9,29.6,33.1,2.4742518163000877,82.30069444,55.7,38.6,37.1,4.124656772838615,48.0
2018-09-02,1,26.14513889,26.09027778,85.71597222,68.6,32.2,27.5,30.5,2.849446285136161,82.81527778,54.1,40.3,30.9,38.0,4.009167766182779,88.80069444,66.7,35.9,33.1,2.4742518163000877,49.0
