date,disease,T20_mean_x,ST_mean_x,T60_mean_x,ST_min_x,ST_max_x,T60_max_x
2017-10-31,1,17.897247706422018,18.221100917431194,16.054128440366963,17.1,19.6,24.9
2017-11-01,1,16.35779816513761,16.499999999999993,13.084403669724775,13.9,20.3,26.7
2017-11-02,1,17.97522935779817,17.51376146788991,14.598165137614686,15.0,20.9,28.2
2017-11-03,1,16.458715596330272,16.45963302752293,13.882568807339453,13.5,20.1,27.8
2017-11-04,1,17.831192660550453,17.21651376146789,15.858715596330276,14.4,20.6,28.4
2017-11-05,1,18.80642201834863,18.37706422018348,15.352293577981653,16.7,20.6,25.8
2017-11-06,1,16.416513761467893,16.30733944954129,15.465137614678907,13.9,19.6,26.0
2017-11-07,1,18.113761467889915,17.011926605504588,14.418348623853214,14.5,21.0,27.7
2017-11-08,1,19.377981651376146,17.811926605504595,17.078899082568807,15.6,21.2,28.7
2017-11-09,1,18.05596330275229,18.42385321100917,12.894495412844035,17.7,19.4,15.9
2017-11-10,1,17.543119266055047,17.720183486238533,16.359633027522936,16.0,19.9,24.3
2017-11-11,1,16.028440366972475,16.323853211009176,13.300917431192653,14.3,19.2,23.8
2017-11-12,1,17.003669724770642,16.946788990825688,12.746788990825696,15.5,19.4,24.6
2017-11-13,1,13.782568807339453,14.719266055045884,12.866055045871557,12.6,16.9,20.1
2017-11-14,1,14.174311926605506,14.544036697247712,9.371559633027523,11.4,18.9,24.2
2017-11-15,1,14.218348623853213,15.407339449541292,10.615596330275228,14.0,16.7,15.9
2017-11-16,1,15.894495412844035,15.7651376146789,10.624770642201836,13.5,18.7,23.7
2017-11-17,1,12.398165137614686,14.255963302752301,11.06422018348624,12.6,16.2,20.8
2017-11-18,1,13.272477064220187,13.71100917431193,10.277981651376148,11.1,17.5,24.8
2017-11-19,1,11.386238532110095,13.165137614678905,7.875229357798164,12.0,13.7,10.4
2017-11-20,1,12.52752293577982,12.125688073394494,10.732110091743117,8.1,17.8,20.1
2017-11-21,1,11.00091743119266,11.052293577981652,9.752293577981652,7.3,17.6,19.9
2017-11-22,1,12.555963302752295,11.738532110091741,10.793577981651378,6.9,18.5,20.7
2017-11-23,1,12.446788990825693,12.316513761467895,10.584403669724773,8.7,17.0,19.1
2017-11-24,1,16.35963302752294,14.744954128440368,10.896330275229356,12.6,17.4,20.0
2017-11-25,1,14.8302752293578,14.249541284403668,12.624770642201831,11.9,17.4,23.7
2017-11-26,1,13.892660550458725,13.48073394495413,9.574311926605503,11.2,16.4,21.4
2017-11-27,1,13.066055045871561,13.326605504587151,10.899082568807335,11.1,16.1,22.8
2017-11-28,1,15.822018348623855,14.756880733944955,10.812844036697244,12.7,17.4,20.0
2017-11-29,1,15.520183486238524,14.68532110091743,13.108256880733947,12.5,17.6,23.6
2017-11-30,1,14.42752293577982,14.339449541284404,12.389908256880734,12.5,16.7,19.8
2017-12-01,1,16.26422018348624,15.625688073394494,13.102752293577984,14.4,17.4,20.2
2017-12-02,1,15.433944954128444,15.356880733944953,13.098165137614677,13.8,17.4,22.4
2017-12-03,1,14.010091743119268,14.204587155963305,11.28623853211009,12.4,16.7,21.3
2017-12-04,1,14.07889908256881,13.694495412844036,11.865137614678895,11.5,16.9,22.9
2017-12-05,1,10.71376146788991,12.625688073394494,4.6825688073394485,11.0,14.2,9.7
2017-12-06,1,12.433027522935774,13.111009174311926,6.380733944954129,11.6,15.3,15.0
2017-12-07,1,12.680733944954133,12.696330275229359,10.681651376146787,10.7,15.8,23.4
2017-12-20,1,15.646788990825687,15.982568807339456,15.590825688073394,14.5,18.0,25.4
2017-12-21,1,16.597247706422028,15.937614678899088,16.477981651376144,14.4,18.5,28.3
2017-12-22,1,17.134862385321103,16.282568807339448,17.166055045871556,14.7,19.0,29.7
2017-12-23,1,16.407339449541286,16.188990825688073,16.092660550458714,14.6,18.6,27.1
2017-12-24,1,16.251376146788992,15.90000000000001,16.041284403669724,14.4,18.2,25.8
2017-12-25,1,16.901834862385314,16.362385321100913,16.895412844036688,14.9,18.8,28.4
2017-12-26,1,16.787155963302755,17.221100917431198,17.060550458715596,16.1,18.9,26.3
2017-12-27,1,14.802752293577983,16.19266055045872,14.987155963302756,15.1,18.3,28.8
2017-12-28,1,13.255963302752292,15.439449541284402,13.33302752293578,14.8,16.7,22.5
