date,disease,T20_mean_x,ST_mean_x,T60_mean_x,ST_min_x,T20_max_x,ST_max_x,T60_max_x,T20_mean_y,ST_mean_y,T60_mean_y,T20_max_y,ST_max_y,T60_max_y,T20_mean_z,ST_mean_z,T60_mean_z,ST_max_z,T60_max_z
2016/10/9,1,24.82912621,23.14563107,24.14660194,21.8,35.2,25.1,30.4,23.3625,22.47569444,22.42152778,38,25.4,29.3,25.30416667,23.97291667,24.24305556,35,34.2
2016/10/10,1,23.70679612,23.47864078,23.52330097,22.1,29.6,24.3,26.5,24.48055556,23.39236111,24.0875,35.2,25.1,30.4,23.3625,22.47569444,22.42152778,25.4,29.3
2016/10/11,1,21.07572816,20.61165049,20.15533981,19.2,31,22.4,25.7,21.84305556,22.66736111,21.97986111,29.6,24.3,26.5,24.48055556,23.39236111,24.0875,25.1,30.4
2016/10/12,1,21.81553398,21.45825243,21.19902913,19.2,32.7,32.6,32.4,20.38125,20.65069444,19.87083333,31,22.4,25.7,21.84305556,22.66736111,21.97986111,24.3,26.5
2016/10/13,1,23.08737864,22.70291262,22.93203883,15.1,34.4,35,34.1,21.00416667,20.73055556,20.53819444,32.7,32.6,32.4,20.38125,20.65069444,19.87083333,22.4,25.7
2016/10/14,1,18.30970874,19.02330097,17.86019417,17.5,28.9,23.6,24,21.25277778,21.95972222,21.33472222,34.4,35,34.1,21.00416667,20.73055556,20.53819444,32.6,32.4
2016/10/15,1,19.68446602,19.34368932,19.07864078,17.8,28.5,21,24.8,17.91597222,19.13125,17.7375,28.9,23.6,24,21.25277778,21.95972222,21.33472222,35,34.1
2016/10/16,1,20.83883495,19.58834951,19.86407767,16.8,32.2,31.9,31.8,18.29444444,19.17361111,18.04861111,28.5,21,24.8,17.91597222,19.13125,17.7375,23.6,24
2016/10/17,1,21.56796117,19.33398058,20.1368932,17.2,36.6,22.7,29.4,19.24791667,19.45555556,18.78263889,32.2,31.9,31.8,18.29444444,19.17361111,18.04861111,21,24.8
2016/10/18,1,19.94466019,20.08543689,19.80970874,19.6,24.1,20.8,22.2,20.99722222,19.59861111,19.99375,36.6,22.7,29.4,19.24791667,19.45555556,18.78263889,31.9,31.8
2016/10/19,1,23.6407767,21.01941748,22.26504854,19.1,37.1,24,29.9,19.68125,20.13888889,19.68125,24.1,20.8,22.2,20.99722222,19.59861111,19.99375,22.7,29.4
