T60_mean_x,H_mean_x,T20_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x
22.90416666666666,47.64583333333334,14.3,14.0,27.0,32.1,26.4,34.6,92.0
24.31736111111111,44.875,14.9,14.6,20.0,34.9,28.9,36.8,82.0
23.688194444444452,57.71527777777778,11.9,11.6,24.0,33.3,26.9,36.1,92.0
23.746527777777786,68.46527777777777,15.6,14.7,32.0,35.4,26.6,37.6,100.0
20.911805555555567,83.5,17.6,16.6,48.0,30.0,24.3,31.9,100.0
20.13680555555555,88.54861111111109,17.3,16.6,65.0,27.1,23.6,27.6,100.0
24.043055555555558,71.40972222222223,15.5,15.0,39.0,35.4,27.1,36.3,100.0
25.965277777777786,64.3263888888889,15.6,15.0,30.0,38.4,29.0,40.2,100.0
23.034722222222232,55.25,18.4,18.1,28.0,33.5,25.2,33.7,75.0
24.51388888888888,45.069444444444436,16.4,16.2,19.0,36.2,29.2,39.0,69.0
22.8125,66.20833333333333,13.9,13.9,33.0,33.2,26.1,33.8,100.0
23.204166666666666,72.94444444444444,15.8,15.2,29.0,34.2,31.1,33.7,100.0
24.43541666666667,67.6388888888889,15.4,15.0,29.0,36.6,29.2,37.9,100.0
24.760416666666675,63.25,15.9,15.6,31.0,37.4,28.8,36.3,100.0
24.56388888888888,62.423611111111114,16.3,15.9,37.0,35.8,28.2,35.6,87.0
21.290277777777774,83.35416666666667,18.5,17.9,70.0,27.3,24.2,25.8,99.0
25.73263888888889,69.35416666666667,17.8,17.4,41.0,36.7,28.7,36.9,97.0
25.28055555555556,76.5763888888889,16.8,16.3,44.0,39.4,29.7,39.1,100.0
22.31250000000001,90.35416666666669,18.3,18.0,75.0,30.8,25.4,30.1,100.0
23.686805555555555,72.85416666666667,19.7,19.6,50.0,34.5,26.6,31.9,97.0
26.17152777777777,74.125,18.1,18.0,46.0,37.9,29.7,38.0,100.0
25.469444444444452,76.65277777777777,19.7,19.2,46.0,37.0,28.8,35.6,100.0
23.463888888888878,88.68055555555556,20.6,20.3,73.0,28.9,25.3,27.8,95.0
24.48194444444444,79.80555555555556,21.1,21.1,56.0,31.4,26.4,29.9,100.0
24.60416666666668,82.88194444444444,20.7,19.1,52.0,35.0,27.4,32.7,100.0
24.72708333333333,87.77083333333331,21.5,22.0,62.0,31.9,27.3,30.7,99.0
24.632638888888888,87.29861111111109,21.0,21.6,62.0,30.8,26.5,29.4,100.0
24.63194444444445,90.85416666666669,21.3,21.8,72.0,31.4,26.7,29.4,100.0
28.686805555555573,80.625,22.4,23.4,46.0,39.6,30.5,39.2,100.0
29.568750000000023,77.15972222222223,22.9,23.5,51.0,39.9,32.6,40.0,100.0
30.71388888888889,70.1111111111111,24.1,24.4,46.0,39.8,36.3,39.7,98.0
28.35694444444445,83.63194444444444,24.7,25.0,62.0,38.1,32.6,35.9,99.0
27.25625,76.63194444444444,23.3,23.8,53.0,37.4,32.1,36.0,96.0
27.82875000000001,72.225,22.0,22.0,46.0,37.2,31.9,36.8,93.0
29.5090277777778,80.3888888888889,24.8,25.8,64.0,38.1,31.7,35.0,97.0
27.7111111111111,88.11111111111109,24.3,24.7,75.0,37.4,29.4,35.1,100.0
28.36805555555555,73.47916666666667,23.4,24.0,45.0,41.8,30.1,36.3,94.0
29.563194444444452,76.4236111111111,24.0,24.7,51.0,41.7,30.7,36.7,100.0
29.02361111111113,83.52083333333333,25.4,26.3,58.0,40.7,30.5,36.1,100.0
31.665972222222226,85.27083333333333,25.1,26.1,54.0,45.1,32.4,38.1,100.0
28.50833333333333,91.46527777777777,26.4,27.4,78.0,35.5,29.3,31.8,100.0
29.13124999999999,76.93055555555556,24.8,26.2,56.0,40.2,30.3,34.9,100.0
30.3090277777778,68.38194444444444,24.6,25.2,47.0,42.6,31.0,37.3,100.0
30.004861111111087,76.55555555555556,24.0,25.0,51.0,42.7,32.0,37.8,100.0
29.07708333333333,84.96527777777777,25.3,26.4,62.0,40.3,31.0,35.6,100.0
28.590277777777768,84.16666666666667,24.4,25.6,63.0,36.2,30.5,34.0,98.0
28.434027777777786,80.97222222222223,22.7,23.8,61.0,39.8,30.4,35.3,100.0
