H_mean_x,T20_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,housa_x,H_mean_y,T20_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,housa_y,H_mean_z,T20_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,housa_z,days
90.24652778,19.8,74.3,28.1,24.4,26.5,98.2,1.6244617663962382,76.89583333,16.7,47.0,33.5,25.8,33.5,93.1,4.235471602703991,69.60069444,18.2,47.7,35.5,25.8,33.6,89.1,5.485551172791852,68.0
80.75277778,17.1,54.7,32.5,24.6,30.6,95.9,3.182660890016082,90.24652778,19.8,74.3,28.1,24.4,26.5,98.2,1.6244617663962382,76.89583333,16.7,47.0,33.5,25.8,33.5,93.1,4.235471602703991,69.0
77.06180556,16.1,48.8,34.6,26.1,35.1,98.1,4.179902156720543,80.75277778,17.1,54.7,32.5,24.6,30.6,95.9,3.182660890016082,90.24652778,19.8,74.3,28.1,24.4,26.5,98.2,1.6244617663962382,70.0
87.97361111,18.3,68.0,31.9,24.2,29.1,95.5,1.9294438420531632,77.06180556,16.1,48.8,34.6,26.1,35.1,98.1,4.179902156720543,80.75277778,17.1,54.7,32.5,24.6,30.6,95.9,3.182660890016082,71.0
84.15347222,18.7,54.1,34.9,25.5,35.1,97.6,2.836249312768892,87.97361111,18.3,68.0,31.9,24.2,29.1,95.5,1.9294438420531632,77.06180556,16.1,48.8,34.6,26.1,35.1,98.1,4.179902156720543,72.0
97.41319444,19.7,92.2,24.6,23.3,24.0,100.0,0.4168613429713779,84.15347222,18.7,54.1,34.9,25.5,35.1,97.6,2.836249312768892,87.97361111,18.3,68.0,31.9,24.2,29.1,95.5,1.9294438420531632,73.0
87.02638889,18.9,66.7,30.6,24.5,30.0,100.0,2.2925017763553663,97.41319444,19.7,92.2,24.6,23.3,24.0,100.0,0.4168613429713779,84.15347222,18.7,54.1,34.9,25.5,35.1,97.6,2.836249312768892,74.0
73.47152778,16.9,44.7,37.2,26.1,34.8,94.4,5.052528329680727,87.02638889,18.9,66.7,30.6,24.5,30.0,100.0,2.2925017763553663,97.41319444,19.7,92.2,24.6,23.3,24.0,100.0,0.4168613429713779,75.0
92.81666667,18.4,73.7,25.9,24.0,25.7,100.0,1.103579087981253,73.47152778,16.9,44.7,37.2,26.1,34.8,94.4,5.052528329680727,87.02638889,18.9,66.7,30.6,24.5,30.0,100.0,2.2925017763553663,76.0
82.00972222,18.4,45.5,34.7,27.4,36.4,100.0,3.3868866724618085,92.81666667,18.4,73.7,25.9,24.0,25.7,100.0,1.103579087981253,73.47152778,16.9,44.7,37.2,26.1,34.8,94.4,5.052528329680727,77.0
73.56597222,19.6,41.1,38.2,29.9,39.3,96.4,5.7437384311417565,82.00972222,18.4,45.5,34.7,27.4,36.4,100.0,3.3868866724618085,92.81666667,18.4,73.7,25.9,24.0,25.7,100.0,1.103579087981253,78.0
83.85902778,22.0,53.8,36.4,29.4,39.0,97.4,3.4367352362733503,73.56597222,19.6,41.1,38.2,29.9,39.3,96.4,5.7437384311417565,82.00972222,18.4,45.5,34.7,27.4,36.4,100.0,3.3868866724618085,79.0
85.44027778,23.5,52.5,35.4,28.4,39.2,97.5,3.137168691711145,83.85902778,22.0,53.8,36.4,29.4,39.0,97.4,3.4367352362733503,73.56597222,19.6,41.1,38.2,29.9,39.3,96.4,5.7437384311417565,80.0
85.76666667,24.0,58.7,38.9,29.9,38.9,100.0,3.1552937061006117,85.44027778,23.5,52.5,35.4,28.4,39.2,97.5,3.137168691711145,83.85902778,22.0,53.8,36.4,29.4,39.0,97.4,3.4367352362733503,81.0
88.27569444,24.6,70.0,34.8,29.1,34.5,99.9,2.5663760693572555,85.76666667,24.0,58.7,38.9,29.9,38.9,100.0,3.1552937061006117,85.44027778,23.5,52.5,35.4,28.4,39.2,97.5,3.137168691711145,82.0
89.30694444,25.1,61.1,36.8,29.8,38.4,100.0,2.38474652988323,88.27569444,24.6,70.0,34.8,29.1,34.5,99.9,2.5663760693572555,85.76666667,24.0,58.7,38.9,29.9,38.9,100.0,3.1552937061006117,83.0
85.34583333,24.6,62.8,36.9,30.4,37.6,100.0,3.419595016726108,89.30694444,25.1,61.1,36.8,29.8,38.4,100.0,2.38474652988323,88.27569444,24.6,70.0,34.8,29.1,34.5,99.9,2.5663760693572555,84.0
86.34722222,24.1,66.2,37.2,29.7,36.3,98.3,3.0805133522073325,85.34583333,24.6,62.8,36.9,30.4,37.6,100.0,3.419595016726108,89.30694444,25.1,61.1,36.8,29.8,38.4,100.0,2.38474652988323,85.0
85.68472222,23.8,65.0,37.0,29.6,35.7,99.9,3.214156508119224,86.34722222,24.1,66.2,37.2,29.7,36.3,98.3,3.0805133522073325,85.34583333,24.6,62.8,36.9,30.4,37.6,100.0,3.419595016726108,86.0
92.24166667,24.4,82.6,31.2,27.7,29.9,99.5,1.5861827093474918,85.68472222,23.8,65.0,37.0,29.6,35.7,99.9,3.214156508119224,86.34722222,24.1,66.2,37.2,29.7,36.3,98.3,3.0805133522073325,87.0
93.95069444,24.4,88.0,27.9,26.5,27.4,98.8,1.1820453784469722,92.24166667,24.4,82.6,31.2,27.7,29.9,99.5,1.5861827093474918,85.68472222,23.8,65.0,37.0,29.6,35.7,99.9,3.214156508119224,88.0
93.44166667,23.9,79.3,30.0,29.4,30.5,100.0,1.312639837394206,93.95069444,24.4,88.0,27.9,26.5,27.4,98.8,1.1820453784469722,92.24166667,24.4,82.6,31.2,27.7,29.9,99.5,1.5861827093474918,89.0
89.90555556,24.7,62.0,33.3,32.2,34.0,100.0,2.121458593888096,93.44166667,23.9,79.3,30.0,29.4,30.5,100.0,1.312639837394206,93.95069444,24.4,88.0,27.9,26.5,27.4,98.8,1.1820453784469722,90.0
86.49444444,23.5,62.6,40.0,29.6,36.6,100.0,3.0473977678855566,89.90555556,24.7,62.0,33.3,32.2,34.0,100.0,2.121458593888096,93.44166667,23.9,79.3,30.0,29.4,30.5,100.0,1.312639837394206,91.0
85.09375,22.5,65.5,40.7,29.9,36.7,97.3,3.3627717367444427,86.49444444,23.5,62.6,40.0,29.6,36.6,100.0,3.0473977678855566,89.90555556,24.7,62.0,33.3,32.2,34.0,100.0,2.121458593888096,92.0
83.25972222,22.7,63.6,41.4,29.8,36.8,97.2,3.815330212403933,85.09375,22.5,65.5,40.7,29.9,36.7,97.3,3.3627717367444427,86.49444444,23.5,62.6,40.0,29.6,36.6,100.0,3.0473977678855566,93.0
83.71180556,24.0,58.7,39.1,29.2,36.7,99.3,3.7054376948387016,83.25972222,22.7,63.6,41.4,29.8,36.8,97.2,3.815330212403933,85.09375,22.5,65.5,40.7,29.9,36.7,97.3,3.3627717367444427,94.0
83.97708333,25.2,56.8,42.6,30.2,38.0,99.2,3.7408761439876126,83.71180556,24.0,58.7,39.1,29.2,36.7,99.3,3.7054376948387016,83.25972222,22.7,63.6,41.4,29.8,36.8,97.2,3.815330212403933,95.0
80.72152778,24.0,60.6,44.0,30.7,38.2,96.2,4.667564194674836,83.97708333,25.2,56.8,42.6,30.2,38.0,99.2,3.7408761439876126,83.71180556,24.0,58.7,39.1,29.2,36.7,99.3,3.7054376948387016,96.0
82.90763889,24.0,62.5,41.4,30.7,37.3,97.3,4.098043633398191,80.72152778,24.0,60.6,44.0,30.7,38.2,96.2,4.667564194674836,83.97708333,25.2,56.8,42.6,30.2,38.0,99.2,3.7408761439876126,97.0
83.55208333,24.6,66.8,42.5,31.2,37.0,97.7,4.045173794132573,82.90763889,24.0,62.5,41.4,30.7,37.3,97.3,4.098043633398191,80.72152778,24.0,60.6,44.0,30.7,38.2,96.2,4.667564194674836,1.0
85.03819444,25.0,64.6,41.8,31.0,37.6,96.8,3.6036554796933613,83.55208333,24.6,66.8,42.5,31.2,37.0,97.7,4.045173794132573,82.90763889,24.0,62.5,41.4,30.7,37.3,97.3,4.098043633398191,2.0
86.80625,26.4,70.5,40.0,31.0,36.6,99.0,3.2036474641153725,85.03819444,25.0,64.6,41.8,31.0,37.6,96.8,3.6036554796933613,83.55208333,24.6,66.8,42.5,31.2,37.0,97.7,4.045173794132573,3.0
85.44236111,26.3,68.6,41.2,31.6,37.5,99.4,3.6967462511590385,86.80625,26.4,70.5,40.0,31.0,36.6,99.0,3.2036474641153725,85.03819444,25.0,64.6,41.8,31.0,37.6,96.8,3.6036554796933613,4.0
86.27986111,26.5,66.9,41.2,31.2,36.6,98.2,3.3540545529287638,85.44236111,26.3,68.6,41.2,31.6,37.5,99.4,3.6967462511590385,86.80625,26.4,70.5,40.0,31.0,36.6,99.0,3.2036474641153725,5.0
87.27013889,25.5,69.9,39.7,30.0,34.7,97.0,2.9567487775019865,86.27986111,26.5,66.9,41.2,31.2,36.6,98.2,3.3540545529287638,85.44236111,26.3,68.6,41.2,31.6,37.5,99.4,3.6967462511590385,6.0
85.24166667,25.0,64.6,35.1,28.3,32.4,98.8,3.361471584300186,87.27013889,25.5,69.9,39.7,30.0,34.7,97.0,2.9567487775019865,86.27986111,26.5,66.9,41.2,31.2,36.6,98.2,3.3540545529287638,27.0
80.72430556,26.5,49.9,39.9,34.2,39.4,97.2,4.8112193220760195,85.24166667,25.0,64.6,35.1,28.3,32.4,98.8,3.361471584300186,87.27013889,25.5,69.9,39.7,30.0,34.7,97.0,2.9567487775019865,28.0
85.86805556,26.4,62.4,37.6,31.8,37.0,97.2,3.34507994221341,80.72430556,26.5,49.9,39.9,34.2,39.4,97.2,4.8112193220760195,85.24166667,25.0,64.6,35.1,28.3,32.4,98.8,3.361471584300186,29.0
82.46527778,26.0,57.1,40.9,34.1,39.0,99.1,4.385392203977928,85.86805556,26.4,62.4,37.6,31.8,37.0,97.2,3.34507994221341,80.72430556,26.5,49.9,39.9,34.2,39.4,97.2,4.8112193220760195,30.0
82.37569444,26.6,58.6,38.7,33.4,39.0,97.0,4.354275223346208,82.46527778,26.0,57.1,40.9,34.1,39.0,99.1,4.385392203977928,85.86805556,26.4,62.4,37.6,31.8,37.0,97.2,3.34507994221341,31.0
90.16805556,25.3,61.5,37.6,31.0,37.8,98.0,2.09498057644226,82.37569444,26.6,58.6,38.7,33.4,39.0,97.0,4.354275223346208,82.46527778,26.0,57.1,40.9,34.1,39.0,99.1,4.385392203977928,32.0
86.64583333,25.5,63.4,35.7,30.6,36.1,100.0,2.9647948874312884,90.16805556,25.3,61.5,37.6,31.0,37.8,98.0,2.09498057644226,82.37569444,26.6,58.6,38.7,33.4,39.0,97.0,4.354275223346208,33.0
63.01180556,22.2,26.7,40.0,31.3,41.9,83.6,8.428397784555091,86.64583333,25.5,63.4,35.7,30.6,36.1,100.0,2.9647948874312884,90.16805556,25.3,61.5,37.6,31.0,37.8,98.0,2.09498057644226,34.0
65.82083333,19.7,40.5,37.0,29.4,40.6,86.4,6.900604679482773,63.01180556,22.2,26.7,40.0,31.3,41.9,83.6,8.428397784555091,86.64583333,25.5,63.4,35.7,30.6,36.1,100.0,2.9647948874312884,35.0
70.52152778,19.4,33.9,38.3,29.6,39.8,91.8,5.931646274854756,65.82083333,19.7,40.5,37.0,29.4,40.6,86.4,6.900604679482773,63.01180556,22.2,26.7,40.0,31.3,41.9,83.6,8.428397784555091,36.0
82.48263889,20.7,54.6,37.5,28.7,37.6,100.0,3.5962206781227724,70.52152778,19.4,33.9,38.3,29.6,39.8,91.8,5.931646274854756,65.82083333,19.7,40.5,37.0,29.4,40.6,86.4,6.900604679482773,37.0
83.57083333,25.4,52.0,41.0,31.7,43.5,100.0,4.075350345809387,82.48263889,20.7,54.6,37.5,28.7,37.6,100.0,3.5962206781227724,70.52152778,19.4,33.9,38.3,29.6,39.8,91.8,5.931646274854756,38.0
80.01527778,26.2,46.0,43.8,32.3,43.3,99.7,5.178411746871318,83.57083333,25.4,52.0,41.0,31.7,43.5,100.0,4.075350345809387,82.48263889,20.7,54.6,37.5,28.7,37.6,100.0,3.5962206781227724,39.0
84.72847222,26.6,58.8,42.3,31.5,40.4,99.2,3.677518352208647,80.01527778,26.2,46.0,43.8,32.3,43.3,99.7,5.178411746871318,83.57083333,25.4,52.0,41.0,31.7,43.5,100.0,4.075350345809387,40.0
90.26875,26.9,67.0,35.8,30.1,36.5,100.0,2.1992380627622814,84.72847222,26.6,58.8,42.3,31.5,40.4,99.2,3.677518352208647,80.01527778,26.2,46.0,43.8,32.3,43.3,99.7,5.178411746871318,41.0
88.66180556,25.8,67.3,39.0,30.2,36.7,99.7,2.6207351582985607,90.26875,26.9,67.0,35.8,30.1,36.5,100.0,2.1992380627622814,84.72847222,26.6,58.8,42.3,31.5,40.4,99.2,3.677518352208647,42.0
82.70833333,24.2,58.5,41.0,31.7,39.6,100.0,4.288443933107485,88.66180556,25.8,67.3,39.0,30.2,36.7,99.7,2.6207351582985607,90.26875,26.9,67.0,35.8,30.1,36.5,100.0,2.1992380627622814,43.0
81.16597222,23.6,54.3,41.8,31.2,39.8,99.4,4.558591158199987,82.70833333,24.2,58.5,41.0,31.7,39.6,100.0,4.288443933107485,88.66180556,25.8,67.3,39.0,30.2,36.7,99.7,2.6207351582985607,44.0
85.25277778,23.8,62.3,41.5,30.4,37.2,99.1,3.364137752344365,81.16597222,23.6,54.3,41.8,31.2,39.8,99.4,4.558591158199987,82.70833333,24.2,58.5,41.0,31.7,39.6,100.0,4.288443933107485,45.0
83.85277778,24.6,61.6,40.9,30.5,37.9,98.9,3.795097899728997,85.25277778,23.8,62.3,41.5,30.4,37.2,99.1,3.364137752344365,81.16597222,23.6,54.3,41.8,31.2,39.8,99.4,4.558591158199987,46.0
