date,disease,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,H_min_x,ST_max_x,T60_max_x,housa_x,T20_mean_y,T60_mean_y,H_mean_y,H_min_y,ST_max_y,T60_max_y,housa_y,T20_mean_z,H_mean_z,H_min_z,T60_max_z,housa_z
2018-06-29,0,28.99236111111113,27.23402777777777,28.11944444444445,89.58263888888891,66.4,29.5,37.2,2.2952118780339097,28.18888888888889,27.15625,91.56527777777771,73.3,28.4,34.1,1.7730715850752747,27.91041666666667,87.88680555555555,64.2,37.6,2.578790877255108
2018-06-30,0,28.83819444444445,27.42708333333333,28.071527777777767,90.87430555555555,75.9,28.9,33.9,2.0059441949922805,28.99236111111113,28.11944444444445,89.58263888888891,66.4,29.5,37.2,2.2952118780339097,28.18888888888889,91.56527777777771,73.3,34.1,1.7730715850752747
2018-07-01,0,28.985416666666666,27.70486111111111,27.939583333333346,95.24722222222216,71.1,29.1,37.0,1.0380341918302474,28.83819444444445,28.071527777777767,90.87430555555555,75.9,28.9,33.9,2.0059441949922805,28.99236111111113,89.58263888888891,66.4,37.2,2.2952118780339097
2018-07-02,0,30.10625000000001,28.25694444444445,29.33819444444445,88.23263888888886,69.9,30.3,36.6,2.7502760836473343,28.985416666666666,27.939583333333346,95.24722222222216,71.1,29.1,37.0,1.0380341918302474,28.83819444444445,90.87430555555555,75.9,33.9,2.0059441949922805
2018-07-03,0,29.594444444444427,27.985416666666683,27.93541666666666,94.63125,80.9,29.5,33.0,1.1723282317760315,30.10625000000001,29.33819444444445,88.23263888888886,69.9,30.3,36.6,2.7502760836473343,28.985416666666666,95.24722222222216,71.1,37.0,1.0380341918302474
2018-07-04,0,29.556944444444426,27.95347222222223,27.27152777777779,94.10902777777771,73.9,29.5,34.2,1.2453523958152573,29.594444444444427,27.93541666666666,94.63125,80.9,29.5,33.0,1.1723282317760315,30.10625000000001,88.23263888888886,69.9,36.6,2.7502760836473343
2018-07-05,0,27.21805555555556,27.30694444444446,26.72986111111112,96.72222222222223,86.8,27.9,29.8,0.6747715542181779,29.556944444444426,27.27152777777779,94.10902777777771,73.9,29.5,34.2,1.2453523958152573,29.594444444444427,94.63125,80.9,33.0,1.1723282317760315
2018-07-06,0,25.97291666666667,26.311805555555548,25.739583333333343,98.80416666666667,94.2,26.7,27.4,0.23445563589781304,27.21805555555556,26.72986111111112,96.72222222222223,86.8,27.9,29.8,0.6747715542181779,29.556944444444426,94.10902777777771,73.9,34.2,1.2453523958152573
2018-07-07,0,26.27847222222221,26.05625000000002,25.82777777777777,99.2375,92.4,27.9,28.5,0.15014908679563518,25.97291666666667,25.739583333333343,98.80416666666667,94.2,26.7,27.4,0.23445563589781304,27.21805555555556,96.72222222222223,86.8,29.8,0.6747715542181779
2018-07-08,0,27.349305555555574,26.80972222222222,26.50763888888893,97.3201388888889,75.7,31.5,31.9,0.5456920660221781,26.27847222222221,25.82777777777777,99.2375,92.4,27.9,28.5,0.15014908679563518,25.97291666666667,98.80416666666667,94.2,27.4,0.23445563589781304
2018-07-09,0,29.211111111111112,27.58819444444445,28.429861111111112,74.56319444444446,43.7,29.9,35.6,5.68953128079085,27.349305555555574,26.50763888888893,97.3201388888889,75.7,31.5,31.9,0.5456920660221781,26.27847222222221,99.2375,92.4,28.5,0.15014908679563518
2018-07-10,0,29.70625,27.77708333333332,27.963194444444433,76.25763888888885,46.4,30.2,35.0,5.191433384319669,29.211111111111112,28.429861111111112,74.56319444444446,43.7,29.9,35.6,5.68953128079085,27.349305555555574,97.3201388888889,75.7,31.9,0.5456920660221781
2018-07-11,0,29.98472222222223,27.98680555555556,28.130555555555553,70.07986111111113,42.0,30.1,34.6,6.595736855520173,29.70625,27.963194444444433,76.25763888888885,46.4,30.2,35.0,5.191433384319669,29.211111111111112,74.56319444444446,43.7,35.6,5.68953128079085
2018-07-12,0,29.54444444444444,28.00486111111111,28.73611111111111,54.18263888888888,33.6,29.6,35.4,10.401388106306902,29.98472222222223,28.130555555555553,70.07986111111113,42.0,30.1,34.6,6.595736855520173,29.70625,76.25763888888885,46.4,35.0,5.191433384319669
