date,disease,T20_mean_x,H_min_x,H_mean_y,H_max_y,H_max_z,H_mean_a,H_max_a,T20_mean_b,ST_min_b,H_max_b
2017-05-18,0,20.60183486238532,41.0,57.90277777777778,84.0,100.0,74.43055555555556,100.0,18.21111111111111,16.9,100.0
2017-05-19,0,23.66422018348625,22.0,72.49305555555556,99.0,84.0,74.94444444444444,100.0,22.284027777777773,17.4,100.0
2017-05-20,0,24.16788990825688,22.0,69.43055555555556,100.0,99.0,57.90277777777778,84.0,21.57638888888889,19.5,100.0
2017-05-21,0,25.17431192660551,26.0,72.97916666666667,100.0,100.0,72.49305555555556,99.0,20.143055555555566,16.8,84.0
2017-05-22,0,26.27247706422019,26.0,63.32638888888889,97.0,100.0,69.43055555555556,100.0,19.873611111111103,17.1,99.0
2017-05-23,0,25.347706422018362,34.0,64.52083333333333,93.0,97.0,72.97916666666667,100.0,22.33611111111113,17.7,100.0
2017-05-24,0,25.47981651376145,30.0,68.34722222222223,95.0,93.0,63.32638888888889,97.0,22.87986111111111,18.4,100.0
2017-05-25,0,24.621100917431196,40.0,68.3125,100.0,95.0,64.52083333333333,93.0,23.988194444444453,18.8,97.0
2017-05-26,0,21.965137614678888,61.0,70.6388888888889,100.0,100.0,68.34722222222223,95.0,24.97361111111111,19.6,93.0
2017-05-27,0,22.797247706422034,54.0,84.31944444444444,97.0,100.0,68.3125,100.0,24.09652777777779,20.5,95.0
2017-05-28,0,24.55596330275231,26.0,84.9236111111111,100.0,97.0,70.6388888888889,100.0,24.29791666666666,20.4,100.0
2017-05-29,0,24.80183486238533,26.0,51.09027777777778,91.0,100.0,84.31944444444444,97.0,23.86458333333332,21.0,100.0
2017-05-30,0,24.854128440366978,31.0,56.40277777777778,100.0,91.0,84.9236111111111,100.0,21.597222222222207,19.7,97.0
2017-05-31,0,26.05321100917431,31.0,64.0138888888889,97.0,100.0,51.09027777777778,91.0,21.96319444444445,20.2,100.0
2017-06-01,0,25.522935779816518,49.0,65.4861111111111,98.0,97.0,56.40277777777778,100.0,23.09375000000001,16.5,91.0
2017-06-02,0,25.61559633027523,40.0,78.7062937062937,100.0,98.0,64.0138888888889,97.0,23.55624999999999,13.5,100.0
