date,disease,H_mean_x,H_min_x,T20_max_x,T60_max_x,housa_x,H_mean_y,H_min_y,T20_max_y,T60_max_y,H_max_y,housa_y,H_mean_z,T20_min_z,T60_min_z,H_min_z,T20_max_z,T60_max_z,H_max_z,housa_z,days
2018-07-06,0,93.95069444,88.0,27.9,27.4,1.1820453784469722,92.24166667,82.6,31.2,29.9,99.5,1.5861827093474918,85.68472222,23.8,24.0,65.0,37.0,35.7,99.9,3.214156508119224,88.0
2018-07-07,0,93.44166667,79.3,30.0,30.5,1.312639837394206,93.95069444,88.0,27.9,27.4,98.8,1.1820453784469722,92.24166667,24.4,24.6,82.6,31.2,29.9,99.5,1.5861827093474918,89.0
2018-07-08,0,89.90555556,62.0,33.3,34.0,2.121458593888096,93.44166667,79.3,30.0,30.5,100.0,1.312639837394206,93.95069444,24.4,24.5,88.0,27.9,27.4,98.8,1.1820453784469722,90.0
2018-07-09,0,86.49444444,62.6,40.0,36.6,3.0473977678855566,89.90555556,62.0,33.3,34.0,100.0,2.121458593888096,93.44166667,23.9,24.2,79.3,30.0,30.5,100.0,1.312639837394206,91.0
2018-07-10,0,85.09375,65.5,40.7,36.7,3.3627717367444427,86.49444444,62.6,40.0,36.6,100.0,3.0473977678855566,89.90555556,24.7,24.7,62.0,33.3,34.0,100.0,2.121458593888096,92.0
2018-07-11,0,83.25972222,63.6,41.4,36.8,3.815330212403933,85.09375,65.5,40.7,36.7,97.3,3.3627717367444427,86.49444444,23.5,24.0,62.6,40.0,36.6,100.0,3.0473977678855566,93.0
2018-07-12,0,83.71180556,58.7,39.1,36.7,3.7054376948387016,83.25972222,63.6,41.4,36.8,97.2,3.815330212403933,85.09375,22.5,22.9,65.5,40.7,36.7,97.3,3.3627717367444427,94.0
2018-07-13,0,83.97708333,56.8,42.6,38.0,3.7408761439876126,83.71180556,58.7,39.1,36.7,99.3,3.7054376948387016,83.25972222,22.7,23.2,63.6,41.4,36.8,97.2,3.815330212403933,95.0
2018-07-14,0,80.72152778,60.6,44.0,38.2,4.667564194674836,83.97708333,56.8,42.6,38.0,99.2,3.7408761439876126,83.71180556,24.0,24.5,58.7,39.1,36.7,99.3,3.7054376948387016,96.0
2018-07-15,0,82.90763889,62.5,41.4,37.3,4.098043633398191,80.72152778,60.6,44.0,38.2,96.2,4.667564194674836,83.97708333,25.2,25.5,56.8,42.6,38.0,99.2,3.7408761439876126,97.0
2018-07-16,0,83.55208333,66.8,42.5,37.0,4.045173794132573,82.90763889,62.5,41.4,37.3,97.3,4.098043633398191,80.72152778,24.0,24.6,60.6,44.0,38.2,96.2,4.667564194674836,1.0
2018-07-17,0,85.03819444,64.6,41.8,37.6,3.6036554796933613,83.55208333,66.8,42.5,37.0,97.7,4.045173794132573,82.90763889,24.0,24.5,62.5,41.4,37.3,97.3,4.098043633398191,2.0
2018-07-18,0,86.80625,70.5,40.0,36.6,3.2036474641153725,85.03819444,64.6,41.8,37.6,96.8,3.6036554796933613,83.55208333,24.6,25.0,66.8,42.5,37.0,97.7,4.045173794132573,3.0
2018-07-19,0,85.44236111,68.6,41.2,37.5,3.6967462511590385,86.80625,70.5,40.0,36.6,99.0,3.2036474641153725,85.03819444,25.0,25.5,64.6,41.8,37.6,96.8,3.6036554796933613,4.0
2018-07-20,0,86.27986111,66.9,41.2,36.6,3.3540545529287638,85.44236111,68.6,41.2,37.5,99.4,3.6967462511590385,86.80625,26.4,26.6,70.5,40.0,36.6,99.0,3.2036474641153725,5.0
2018-07-21,0,87.27013889,69.9,39.7,34.7,2.9567487775019865,86.27986111,66.9,41.2,36.6,98.2,3.3540545529287638,85.44236111,26.3,26.6,68.6,41.2,37.5,99.4,3.6967462511590385,6.0
