Date/Time,T20,ST
2017/5/31 20:00,22.1,23.6
2017/5/31 20:10,22.1,23.6
2017/5/31 20:20,21.8,23.5
2017/5/31 20:30,21.8,23.5
2017/5/31 20:40,21.8,23.4
2017/5/31 20:50,21.9,23.4
2017/5/31 21:00,21.9,23.4
2017/5/31 21:10,21.9,23.4
2017/5/31 21:20,21.8,23.3
2017/5/31 21:30,21.8,23.3
2017/5/31 21:40,21.7,23.3
2017/5/31 21:50,21.8,23.2
2017/5/31 22:00,21.9,23.2
2017/5/31 22:10,22.1,23.2
2017/5/31 22:20,22.1,23.2
2017/5/31 22:30,22,23.2
2017/5/31 22:40,22,23.2
2017/5/31 22:50,22.1,23.2
2017/5/31 23:00,22.2,23.1
2017/5/31 23:10,22.3,23.1
2017/5/31 23:20,22.3,23.1
2017/5/31 23:30,22.1,23.1
2017/5/31 23:40,22,23.1
2017/5/31 23:50,21.8,23
2017/6/1 0:00,21.6,23
2017/6/1 0:10,21.8,23
2017/6/1 0:20,21.6,23
2017/6/1 0:30,21.4,22.9
2017/6/1 0:40,21.3,22.9
2017/6/1 0:50,21.3,22.9
2017/6/1 1:00,21.1,22.9
2017/6/1 1:10,21,22.8
2017/6/1 1:20,20.8,22.8
2017/6/1 1:30,20.9,22.7
2017/6/1 1:40,21,22.7
2017/6/1 1:50,21,22.6
2017/6/1 2:00,21.1,22.6
2017/6/1 2:10,21.1,22.6
2017/6/1 2:20,21,22.6
2017/6/1 2:30,20.8,22.5
2017/6/1 2:40,20.5,22.5
2017/6/1 2:50,20.5,22.5
2017/6/1 3:00,20.5,22.4
2017/6/1 3:10,20.3,22.4
2017/6/1 3:20,20.3,22.4
2017/6/1 3:30,20.4,22.3
2017/6/1 3:40,20.3,22.3
2017/6/1 3:50,20.1,22.3
2017/6/1 4:00,20,22.2
2017/6/1 4:10,19.9,22.2
2017/6/1 4:20,19.8,22.2
2017/6/1 4:30,19.8,22.1
2017/6/1 4:40,19.7,22.1
2017/6/1 4:50,19.8,22.1
2017/6/1 5:00,19.9,22.1
2017/6/1 5:10,20,22
2017/6/1 5:20,20.2,22
2017/6/1 5:30,20.3,22
2017/6/1 5:40,20.2,22
2017/6/1 5:50,20,22
2017/6/1 6:00,20.1,22
2017/6/1 6:10,20,22
2017/6/1 6:20,19.7,22
2017/6/1 6:30,20.2,22
2017/6/1 6:40,19.9,22
2017/6/1 6:50,20.4,22
2017/6/1 7:00,20.9,22
2017/6/1 7:10,21.3,22
2017/6/1 7:20,21.2,22.1
2017/6/1 7:30,21.4,22.1
2017/6/1 7:40,21.8,22.2
2017/6/1 7:50,24,22.3
2017/6/1 8:00,25.8,22.5
2017/6/1 8:10,27,22.9
2017/6/1 8:20,24,23
2017/6/1 8:30,24.3,23.1
2017/6/1 8:40,25.1,23.2
2017/6/1 8:50,25.1,22.9
2017/6/1 9:00,28,23.1
2017/6/1 9:10,29.5,23.3
2017/6/1 9:20,29.1,23.6
2017/6/1 9:30,31.9,23.9
2017/6/1 9:40,31.9,24.3
2017/6/1 9:50,32.3,24.7
2017/6/1 10:00,33.5,25.2
2017/6/1 10:10,32.2,25.6
2017/6/1 10:20,33.1,26.1
2017/6/1 10:30,29.5,26.2
2017/6/1 10:40,26.8,26.1
2017/6/1 10:50,28.1,26
2017/6/1 11:00,27.9,26.1
2017/6/1 11:10,27.8,26
2017/6/1 11:20,26.9,25.9
2017/6/1 11:30,28.8,25.9
2017/6/1 11:40,30.1,26.1
2017/6/1 11:50,32.8,26.4
2017/6/1 12:00,31,26.8
2017/6/1 12:10,30.7,26.9
2017/6/1 12:20,31.8,27
2017/6/1 12:30,31,27
2017/6/1 12:40,31.3,27
2017/6/1 12:50,32,27
2017/6/1 13:00,32.4,27
2017/6/1 13:10,32.1,27.1
2017/6/1 13:20,32.7,27.2
2017/6/1 13:30,32.1,27.3
2017/6/1 13:40,31.3,27.4
2017/6/1 13:50,30.8,27.4
2017/6/1 14:00,31.7,27.3
2017/6/1 14:10,31.2,27.1
2017/6/1 14:20,29.8,26.9
2017/6/1 14:30,29.8,26.7
2017/6/1 14:40,29,26.5
2017/6/1 14:50,29.2,26.3
2017/6/1 15:00,28.8,26.2
2017/6/1 15:10,29.2,26.2
2017/6/1 15:20,28.9,26.1
2017/6/1 15:30,28.2,26.1
2017/6/1 15:40,27.7,25.9
2017/6/1 15:50,28.6,25.9
2017/6/1 16:00,29.4,25.8
2017/6/1 16:10,27.1,25.7
2017/6/1 16:20,27.1,25.5
2017/6/1 16:30,26.2,25.3
2017/6/1 16:40,25.2,25.1
2017/6/1 16:50,25,24.9
2017/6/1 17:00,24.8,24.8
2017/6/1 17:10,24.2,24.6
2017/6/1 17:20,23.8,24.4
2017/6/1 17:30,23.7,24.3
2017/6/1 17:40,23.5,24.2
2017/6/1 17:50,23.4,24.1
2017/6/1 18:00,23.1,24
2017/6/1 18:10,23,23.9
2017/6/1 18:20,22.9,23.7
2017/6/1 18:30,22.9,23.7
2017/6/1 18:40,22.9,23.6
2017/6/1 18:50,22.9,23.6
2017/6/1 19:00,22.7,23.5
2017/6/1 19:10,22.7,23.5
2017/6/1 19:20,22.5,23.5
2017/6/1 19:30,22.1,23.4
2017/6/1 19:40,22.1,23.4
2017/6/1 19:50,22,23.4
2017/6/1 20:00,22,23.3
2017/6/1 20:10,21.9,23.3
2017/6/1 20:20,21.7,23.3
2017/6/1 20:30,21.5,23.3
2017/6/1 20:40,21.5,23.2
2017/6/1 20:50,21.5,23.2
2017/6/1 21:00,21.4,23.2
2017/6/1 21:10,21.4,23.1
2017/6/1 21:20,21.5,23.1
2017/6/1 21:30,21.3,23.1
2017/6/1 21:40,21.5,23.1
2017/6/1 21:50,21.5,23
2017/6/1 22:00,21.3,23
2017/6/1 22:10,21,22.9
2017/6/1 22:20,20.9,22.9
2017/6/1 22:30,21,22.9
2017/6/1 22:40,20.8,22.8
2017/6/1 22:50,20.9,22.8
2017/6/1 23:00,21.1,22.8
2017/6/1 23:10,21.1,22.8
2017/6/1 23:20,21,22.7
2017/6/1 23:30,20.9,22.7
2017/6/1 23:40,20.7,22.7
2017/6/1 23:50,20.6,22.7
2017/6/2 0:00,20.7,22.6
2017/6/2 0:10,21,22.6
2017/6/2 0:20,18.8,22.6
2017/6/2 0:30,17.5,22.4
